state,abbr,link,homevalue,med_income,fthb,fico,origltv,dti,orignoterate,conv,fha,va,ltv_fico,share_loans_20,share_loans_35,aff_index_20,aff_index_35,agency,hfas,total
Oregon,OR,http://www.ohcs.oregon.gov,341500,74132.97,47.00%,745,90,39,4.188,68.80%,17.40%,10.50%,16.10%,43.30%,25.60%,0.29047,0.33375,Oregon Housing and Community Services,29,37
Pennsylvania,PA,http://www.phfa.org,179480,75575.23,57.50%,736,95,37,4.128,60.30%,28.30%,7.60%,22.60%,31.70%,34.10%,0.14975,0.17206,the Pennsylvania Housing Finance Agency,45,83
Rhode Island,RI,http://www.rhodeislandhousing.org,272260,80730.14,59.50%,727,95,40,4.129,54.60%,38.50%,6.40%,26.00%,31.40%,36.30%,0.21265,0.24434,Rhode Island Housing,5,12
South Carolina,SC,http://www.schousing.com,207560,63828.71,46.00%,729,95,37.51,4.165,56.40%,22.50%,15.70%,25.60%,31.50%,38.10%,0.20505,0.2356,the South Carolina State Housing Finance and Development Authority,17,31
South Dakota,SD,http://www.sdhda.org,171420,71962.1,50.00%,741,95,37,3.92,56.00%,18.20%,13.00%,20.00%,28.00%,35.60%,0.1502,0.17259,the South Dakota Housing Development Authority,5,12
Tennessee,TN,http://www.thda.org,195620,63145.25,46.50%,729,95,37,4.13,53.70%,24.20%,13.70%,25.50%,30.90%,38.50%,0.19534,0.22445,the Tennessee Housing Development Agency,12,34
Texas,TX,http://www.tdhca.state.tx.us,217450,68895.21,51.40%,724,95,39.76,4.213,57.50%,28.40%,12.80%,26.40%,33.40%,35.10%,0.19902,0.22867,the Texas Department of Housing and Community Affairs,89,186
Utah,UT,http://www.utahhousingcorp.org,312200,77644.88,48.30%,738,95,39,4.16,63.60%,25.40%,7.30%,20.30%,30.90%,34.20%,0.25354,0.29132,the Utah Housing Corporation,14,29
Vermont,VT,http://www.vhfa.org,232410,77726.44,48.30%,748,90,37.96,4.046,73.40%,12.70%,8.00%,14.60%,41.30%,27.30%,0.18854,0.21664,the Vermont Housing Finance Agency,8,14
Virginia,VA,http://www.vhda.com,298820,86096.38,54.50%,738,95,38.83,4.089,51.30%,22.70%,22.00%,24.10%,27.60%,42.90%,0.21885,0.25146,the Virginia Housing Development Authority,25,44
Washington,WA,http://www.wshfc.org,387660,85103.65,52.50%,737,93.61,39,4.193,64.60%,18.60%,14.70%,19.90%,36.50%,33.00%,0.28723,0.33003,the Washington State Housing Finance Commission,27,64
West Virginia,WV,http://www.wvhdf.com,127040,58926.06,55.90%,714,96.5,35.91,4.162,45.30%,23.50%,14.80%,31.70%,22.30%,48.20%,0.13594,0.1562,the West Virginia Housing Development Fund,6,13
Wisconsin,WI,http://www.wheda.com,191310,75775.15,51.20%,741,94,36,4.11,73.80%,14.90%,7.50%,18.40%,34.30%,28.70%,0.1592,0.18292,the Wisconsin Housing and Economic Development Authority,26,48
Wyoming,WY,http://www.wyomingcda.com,270360,75214.11,44.50%,736,95,37.515,3.967,52.30%,18.00%,17.50%,23.70%,27.20%,41.70%,0.22666,0.26043,the Wyoming Community Development Authority,2,12
