state,abbr,link,homevalue,med_income,fthb,fico,origltv,dti,orignoterate,conv,fha,va,ltv_fico,share_loans_20,share_loans_35,aff_index_20,aff_index_35,agency,hfas,total
Ohio,OH,http://www.ohiohome.org,177839.77,69287.73,55.3,723,95,36.73,4.192,58.2,28.5,9,26.5,27.5,36.5,13.29,15.27,the Ohio Housing Finance Agency,34,22
Oklahoma,OK,http://www.ohfa.org,186308.351,62398.19,49.4,720,96.49,36.605,4.169,46.4,28.8,14.7,29.7,24.6,44.4,15.66,17.99,the Oklahoma Housing Finance Agency,37,29
Oregon,OR,http://www.ohcs.oregon.gov,325452.295,74132.97,47,745,90,39,4.188,68.8,17.4,10.5,16.1,43.3,25.6,26.37,30.3,Oregon Housing and Community Services,83,45
Pennsylvania,PA,http://www.phfa.org,221780.989,75575.23,57.5,736,95,37,4.128,60.3,28.3,7.6,22.6,31.7,34.1,15.44,17.74,the Pennsylvania Housing Finance Agency,12,5
Rhode Island,RI,http://www.rhodeislandhousing.org,266769.264,80730.14,59.5,727,95,40,4.129,54.6,38.5,6.4,26,31.4,36.3,18.75,21.54,Rhode Island Housing,31,17
South Carolina,SC,http://www.schousing.com,228179.597,63828.71,46,729,95,37.51,4.165,56.4,22.5,15.7,25.6,31.5,38.1,19.35,22.24,the South Carolina State Housing Finance and Development Authority,12,5
South Dakota,SD,http://www.sdhda.org,209430.154,71962.1,50,741,95,37,3.92,56,18.2,13,20,28,35.6,19.28,22.15,the South Dakota Housing Development Authority,34,12
Tennessee,TN,http://www.thda.org,233019.526,63145.25,46.5,729,95,37,4.13,53.7,24.2,13.7,25.5,30.9,38.5,18.32,21.05,the Tennessee Housing Development Agency,186,89
Texas,TX,http://www.tdhca.state.tx.us,257358.802,68895.21,51.4,724,95,39.76,4.213,57.5,28.4,12.8,26.4,33.4,35.1,20.88,23.99,the Texas Department of Housing and Community Affairs,29,14
Utah,UT,http://www.utahhousingcorp.org,291352.267,77644.88,48.3,738,95,39,4.16,63.6,25.4,7.3,20.3,30.9,34.2,21.67,24.9,the Utah Housing Corporation,14,8
Vermont,VT,http://www.vhfa.org,245106.082,77726.44,48.3,748,90,37.96,4.046,73.4,12.7,8,14.6,41.3,27.3,17.77,20.42,the Vermont Housing Finance Agency,44,25
Virginia,VA,http://www.vhda.com,318550.933,86096.38,54.5,738,95,38.83,4.089,51.3,22.7,22,24.1,27.6,42.9,20.51,23.56,the Virginia Housing Development Authority,64,27
Washington,WA,http://www.wshfc.org,351260.392,85103.65,52.5,737,93.61,39,4.193,64.6,18.6,14.7,19.9,36.5,33,25.12,28.86,the Washington State Housing Finance Commission,19,3
West Virginia,WV,http://www.wvhdf.com,177699.042,58926.06,55.9,714,96.5,35.91,4.162,45.3,23.5,14.8,31.7,22.3,48.2,19.26,22.13,the West Virginia Housing Development Fund,13,6
Wisconsin,WI,http://www.wheda.com,204632.306,75775.15,51.2,741,94,36,4.11,73.8,14.9,7.5,18.4,34.3,28.7,13.41,15.41,the Wisconsin Housing and Economic Development Authority,48,26
Wyoming,WY,http://www.wyomingcda.com,250152.108,75214.11,44.5,736,95,37.515,3.967,52.3,18,17.5,23.7,27.2,41.7,18.91,21.72,the Wyoming Community Development Authority,12,2
,,,,,,,,,,,,,,,,,,,,
Max,,,530287.206,101408.43,64.7,764,97,42,4.372,84.6,38.5,30.5,36.2,43.7,51.9,36.71,42.18,0,397,241
Min,,,177517.968,53885.83,43.3,708,85,35.23,3.92,38.3,6.7,4.3,6,20,15.6,12.65,14.53,0,7,1
,,,,,,,,,,,,,,,,,,,,
,diff,,352769.238,47522.6,21.4,56,12,6.77,0.452,46.3,31.8,26.2,30.2,23.7,36.3,24.06,27.65,0,390,240
,/5,,70553.8476,9504.52,4.28,11.2,2.4,1.354,0.0904,9.26,6.36,5.24,6.04,4.74,7.26,4.812,5.53,0,78,48
,min,,177517.968,53885.83,43.3,708,85,35.23,3.92,38.3,6.7,4.3,6,20,15.6,12.65,14.53,0,7,1
,q1,,248072,63390,48,719,87,37,4,48,13,10,12,25,23,17,20,0,85,49
,q2,,318626,72895,52,730,89,38,4,57,19,15,18,30,30,22,26,0,163,97
,q3,,389180,82400,56,741,91,39,4,66,25,20,24,35,37,27,32,0,241,145
,q4,,459734,91905,60,752,93,40,4,75,31,25,30,40,44,32,38,0,319,193
,max,,530287.8476,101409.52,64.28,763.2,95.4,41.354,4.0904,84.26,37.36,30.24,36.04,44.74,51.26,36.812,43.53,0,397,241
